# Textos do launcher: portugues = english | espanol | russo | indonesio | turco

Baixando a atualização... = Downloading the update... | Descargando la actualización... | Загрузка обновления... | Mengunduh pembaruan... | Güncelleme indiriliyor...
Baixando a atualização...  %d%% = Downloading the update... %d%% | Descargando la actualización...  %d%% | Загрузка обновления...  %d%% | Mengunduh pembaruan...  %d%% | Güncelleme indiriliyor...  %d%%
baixando a lista de servidores... = downloading the server list... | descargando la lista de servidores... | загрузка списка серверов... | mengunduh daftar server... | sunucu listesi indiriliyor...
BEM-VINDO AO TROK LAUNCHER = WELCOME TO TROK LAUNCHER | BIENVENIDO A TROK LAUNCHER | ДОБРО ПОЖАЛОВАТЬ В TROK LAUNCHER | SELAMAT DATANG DI TROK LAUNCHER | TROK LAUNCHER'A HOŞ GELDİNİZ
Blog TrokMods = TrokMods blog | Blog TrokMods | Блог TrokMods | Blog TrokMods | TrokMods blogu
bom jogo! = have fun! | ¡buen juego! | удачной игры! | selamat bermain! | iyi oyunlar!
buscando os mais vistos do blog... = fetching the blog's most viewed... | buscando los más vistos del blog... | загрузка самых просматриваемых... | mengambil yang paling banyak dilihat... | en çok görüntülenenler alınıyor...
buscando posts do blog... = fetching blog posts... | buscando posts del blog... | загрузка постов блога... | mengambil postingan blog... | blog gönderileri alınıyor...
Buscar por nome, modo ou IP... = Search by name, mode or IP... | Buscar por nombre, modo o IP... | Поиск по названию, режиму или IP... | Cari nama, mode, atau IP... | Ad, mod veya IP ile ara...
C A P A S   D O   L A U N C H E R = L A U N C H E R   C O V E R S | P O R T A D A S   D E L   L A U N C H E R | О Б Л О Ж К И   Л А У Н Ч Е Р А | S A M P U L   L A U N C H E R | L A U N C H E R   K A P A K L A R I
C O M U N I D A D E = C O M M U N I T Y | C O M U N I D A D | С О О Б Щ Е С Т В О | K O M U N I T A S | T O P L U L U K
C O N E C T A N D O = C O N N E C T I N G | C O N E C T A N D O | П О Д К Л Ю Ч Е Н И Е | M E N G H U B U N G K A N | B A Ğ L A N I Y O R
C O N T A   A O   J O G A R = A C C O U N T   W H E N   P L A Y I N G | C U E N T A   A L   J U G A R | А К К А У Н Т   П Р И   И Г Р Е | A K U N   S A A T   M A I N | O Y N A R K E N   H E S A P
C O N T A S = A C C O U N T S | C U E N T A S | А К К А У Н Т Ы | A K U N | H E S A P L A R
C O R   D E   D E S T A Q U E = A C C E N T   C O L O R | C O L O R   D E   A C E N T O | Ц В Е Т   А К Ц Е Н Т А | W A R N A   A K S E N | V U R G U   R E N G İ
Cada data é uma instalação do jogo. Clique para escolher qual será aberta pelo JOGAR. = Each install is a copy of the game. Click one to choose which PLAY opens. | Cada instalación es una copia del juego. Haz clic para elegir cuál abre JUGAR. | Каждая установка — отдельная копия игры. Нажмите, чтобы выбрать, какую откроет «ИГРАТЬ». | Setiap instalasi adalah salinan game. Klik untuk memilih mana yang dibuka MAIN. | Her kurulum oyunun bir kopyasıdır. OYNA'nın hangisini açacağını seçmek için tıklayın.
Cancelar = Cancel | Cancelar | Отмена | Batal | İptal
clique de novo para excluir = click again to delete | clic de nuevo para borrar | нажмите ещё раз, чтобы удалить | klik lagi untuk menghapus | silmek için tekrar tıklayın
Clique de novo para excluir = Click again to delete | Clic de nuevo para borrar | Нажмите ещё раз, чтобы удалить | Klik lagi untuk menghapus | Silmek için tekrar tıklayın
Clique de novo para excluir %d = Click again to delete %d | Clic de nuevo para borrar %d | Нажмите ещё раз, чтобы удалить %d | Klik lagi untuk menghapus %d | %d öğeyi silmek için tekrar tıklayın
Clique de novo para remover = Click again to remove | Clic de nuevo para quitar | Нажмите ещё раз, чтобы убрать | Klik lagi untuk menghapus | Kaldırmak için tekrar tıklayın
clique para usar = click to use | clic para usar | нажмите, чтобы выбрать | klik untuk memakai | kullanmak için tıkla
Conectar = Connect | Conectar | Подключиться | Hubungkan | Bağlan
Configurações = Settings | Ajustes | Настройки | Pengaturan | Ayarlar
CONFIGURAÇÕES = SETTINGS | AJUSTES | НАСТРОЙКИ | PENGATURAN | AYARLAR
Configurações exportadas! Leve o arquivo pro outro PC. = Settings exported! Take the file to the other PC. | ¡Ajustes exportados! Lleva el archivo al otro PC. | Настройки экспортированы! Перенесите файл на другой ПК. | Pengaturan diekspor! Bawa filenya ke PC lain. | Ayarlar dışa aktarıldı! Dosyayı diğer PC'ye götürün.
consultando servidor...   %s = querying server... %s | consultando servidor...   %s | опрос сервера...   %s | menghubungi server...   %s | sunucu sorgulanıyor...   %s
Conta atual (não trocar) = Current account (don't switch) | Cuenta actual (no cambiar) | Текущий аккаунт (не менять) | Akun saat ini (jangan ganti) | Mevcut hesap (değiştirme)
Copiado! = Copied! | ¡Copiado! | Скопировано! | Disalin! | Kopyalandı!
Copiar imagem = Copy image | Copiar imagen | Копировать изображение | Salin gambar | Görseli kopyala
Copiar o IP = Copy IP | Copiar la IP | Копировать IP | Salin IP | IP'yi kopyala
Cor personalizada = Custom color | Color personalizado | Свой цвет | Warna kustom | Özel renk
D A T A   A O   J O G A R = I N S T A L L   W H E N   P L A Y I N G | I N S T A L A C I O N   A L   J U G A R | У С Т А Н О В К А   П Р И   И Г Р Е | I N S T A L A S I   S A A T   M A I N | O Y N A R K E N   K U R U L U M
D E S C R I C A O = D E S C R I P T I O N | D E S C R I P C I O N | О П И С А Н И Е | D E S K R I P S I | A Ç I K L A M A
Data em uso (não trocar) = Install in use (don't switch) | Instalación en uso (no cambiar) | Текущая установка (не менять) | Instalasi yang dipakai (jangan ganti) | Kullanılan kurulum (değiştirme)
Datas = Installs | Instalaciones | Установки | Instalasi | Kurulumlar
DATAS = INSTALLS | INSTALACIONES | УСТАНОВКИ | INSTALASI | KURULUMLAR
Depois = Later | Después | Позже | Nanti | Sonra
E D I T A R   C O N T A = E D I T   A C C O U N T | E D I T A R   C U E N T A | И З М Е Н И Т Ь   А К К А У Н Т | E D I T   A K U N | H E S A B I   D Ü Z E N L E
E N D E R E C O   D O   S E R V I D O R = S E R V E R   A D D R E S S | D I R E C C I O N   D E L   S E R V I D O R | А Д Р Е С   С Е Р В Е Р А | A L A M A T   S E R V E R | S U N U C U   A D R E S İ
EDITAR DATA = EDIT INSTALL | EDITAR INSTALACIÓN | ИЗМЕНИТЬ УСТАНОВКУ | EDIT INSTALASI | KURULUMU DÜZENLE
Editar data = Edit install | Editar instalación | Изменить установку | Edit instalasi | Kurulumu düzenle
EDITAR SERVIDOR = EDIT SERVER | EDITAR SERVIDOR | ИЗМЕНИТЬ СЕРВЕР | EDIT SERVER | SUNUCUYU DÜZENLE
Editar servidor = Edit server | Editar servidor | Изменить сервер | Edit server | Sunucuyu düzenle
EM USO = IN USE | EN USO | ИСПОЛЬЗУЕТСЯ | DIPAKAI | KULLANIMDA
Endereço inválido. Use ip:porta, como 127.0.0.1:7777. = Invalid address. Use ip:port, like 127.0.0.1:7777. | Dirección inválida. Usa ip:puerto, como 127.0.0.1:7777. | Неверный адрес. Используйте ip:порт, например 127.0.0.1:7777. | Alamat tidak valid. Gunakan ip:port, contoh 127.0.0.1:7777. | Geçersiz adres. ip:port kullanın, örn. 127.0.0.1:7777.
Entrar na comunidade do Discord = Join the Discord community | Entrar a la comunidad de Discord | Вступить в сообщество Discord | Gabung komunitas Discord | Discord topluluğuna katıl
Entrar no Discord = Join the Discord | Entrar al Discord | Перейти в Discord | Gabung Discord | Discord'a katıl
Escolha a pasta User Files desta data = Choose this install's User Files folder | Elige la carpeta User Files de esta instalación | Выберите папку User Files этой установки | Pilih folder User Files instalasi ini | Bu kurulumun User Files klasörünü seçin
Essa pasta nao tem samp.exe - instale o SA-MP nela para jogar. = That folder has no samp.exe - install SA-MP there to play. | Esa carpeta no tiene samp.exe - instala SA-MP ahí para jugar. | В этой папке нет samp.exe — установите туда SA-MP, чтобы играть. | Folder itu tidak punya samp.exe - pasang SA-MP di sana untuk main. | Bu klasörde samp.exe yok - oynamak için SA-MP'yi oraya kurun.
Esse servidor já está nos favoritos. = That server is already in your favorites. | Ese servidor ya está en favoritos. | Этот сервер уже в избранном. | Server itu sudah ada di favorit. | Bu sunucu zaten favorilerde.
Excluir %d = Delete %d | Borrar %d | Удалить %d | Hapus %d | %d öğeyi sil
Excluir (vai para a Lixeira do Windows) = Delete (goes to the Windows Recycle Bin) | Borrar (va a la Papelera de Windows) | Удалить (в Корзину Windows) | Hapus (masuk Recycle Bin Windows) | Sil (Windows Geri Dönüşüm Kutusu'na gider)
Expandir menu = Expand menu | Expandir menú | Развернуть меню | Perluas menu | Menüyü genişlet
Exportar configurações = Export settings | Exportar ajustes | Экспорт настроек | Ekspor pengaturan | Ayarları dışa aktar
F A V O R I T O S = F A V O R I T E S | F A V O R I T O S | И З Б Р А Н Н О Е | F A V O R I T | F A V O R İ L E R
F I L T R O S = F I L T E R S | F I L T R O S | Ф И Л Ь Т Р Ы | F I L T E R | F İ L T R E L E R
Favoritos (%d) = Favorites (%d) | Favoritos (%d) | Избранное (%d) | Favorit (%d) | Favoriler (%d)
Fechar o launcher ao entrar no jogo = Close the launcher when the game starts | Cerrar el launcher al entrar al juego | Закрывать лаунчер при запуске игры | Tutup launcher saat masuk game | Oyuna girince launcher'ı kapat
Fechar para a bandeja em vez de sair = Close to the tray instead of exiting | Cerrar a la bandeja en vez de salir | Сворачивать в трей вместо выхода | Tutup ke tray, bukan keluar | Çıkmak yerine tepsiye küçült
Filtros da lista = List filters | Filtros de la lista | Фильтры списка | Filter daftar | Liste filtreleri
Fundo aparece na Home; a logo troca o nome grande. = The background shows on Home; the logo replaces the big name. | El fondo aparece en Inicio; el logo reemplaza el nombre grande. | Фон показывается на главной; логотип заменяет крупное название. | Latar tampil di Beranda; logo menggantikan nama besar. | Arka plan Ana sayfada görünür; logo büyük adın yerine geçer.
Fórum = Forum | Foro | Форум | Forum | Forum
Galeria = Gallery | Galería | Галерея | Galeri | Galeri
GALERIA = GALLERY | GALERÍA | ГАЛЕРЕЯ | GALERI | GALERİ
Gera um arquivo único com contas, favoritos, opções e as imagens que você subiu = Creates a single file with accounts, favorites, options and the images you added | Crea un único archivo con cuentas, favoritos, opciones y las imágenes que subiste | Создаёт один файл с аккаунтами, избранным, настройками и вашими изображениями | Membuat satu file berisi akun, favorit, opsi, dan gambar yang kamu unggah | Hesaplar, favoriler, seçenekler ve yüklediğiniz görsellerle tek dosya oluşturur
gravando seu nick... = saving your nick... | guardando tu nick... | сохранение ника... | menyimpan nick kamu... | nick kaydediliyor...
Guia do launcher = Launcher guide | Guía del launcher | Руководство по лаунчеру | Panduan launcher | Launcher rehberi
Imagem 16:9 da data = 16:9 image for the install | Imagen 16:9 de la instalación | Изображение 16:9 для установки | Gambar 16:9 untuk instalasi | Kurulum için 16:9 görsel
Imagem de exibição do servidor = Server display image | Imagen del servidor | Изображение сервера | Gambar tampilan server | Sunucu görseli
Importar configurações = Import settings | Importar ajustes | Импорт настроек | Impor pengaturan | Ayarları içe aktar
Informações = About | Información | О программе | Tentang | Hakkında
INFORMAÇÕES = ABOUT | INFORMACIÓN | О ПРОГРАММЕ | TENTANG | HAKKINDA
Iniciar com o Windows = Start with Windows | Iniciar con Windows | Запускать вместе с Windows | Mulai bersama Windows | Windows ile başlat
Iniciar minimizado na bandeja = Start minimized to the tray | Iniciar minimizado en la bandeja | Запускать свёрнутым в трей | Mulai diminimalkan di tray | Tepsiye küçültülmüş başlat
JOGADORES = PLAYERS | JUGADORES | ИГРОКИ | PEMAIN | OYUNCULAR
jogadores %d/%d   ping %d ms   %s = players %d/%d ping %d ms %s | jugadores %d/%d   ping %d ms   %s | игроки %d/%d   пинг %d мс   %s | pemain %d/%d   ping %d ms   %s | oyuncu %d/%d   ping %d ms   %s
Jogar = Play | Jugar | Играть | Main | Oyna
Já está nos favoritos = Already in favorites | Ya está en favoritos | Уже в избранном | Sudah di favorit | Zaten favorilerde
L I N K S   O F I C I A I S = O F F I C I A L   L I N K S | E N L A C E S   O F I C I A L E S | О Ф И Ц И А Л Ь Н Ы Е   С С Ы Л К И | T A U T A N   R E S M I | R E S M İ   B A Ğ L A N T I L A R
Lembrar o último servidor selecionado = Remember the last selected server | Recordar el último servidor seleccionado | Запоминать последний выбранный сервер | Ingat server terakhir yang dipilih | Son seçilen sunucuyu hatırla
Limite de favoritos atingido. = Favorites limit reached. | Límite de favoritos alcanzado. | Достигнут лимит избранного. | Batas favorit tercapai. | Favori sınırına ulaşıldı.
Limpar seleção = Clear selection | Limpiar selección | Снять выделение | Bersihkan pilihan | Seçimi temizle
Logo do servidor (substitui o nome no card) = Server logo (replaces the name on the card) | Logo del servidor (reemplaza el nombre en la tarjeta) | Логотип сервера (вместо названия на карточке) | Logo server (menggantikan nama di kartu) | Sunucu logosu (karttaki adın yerine geçer)
Mais vistos = Most viewed | Más vistos | Популярные | Paling dilihat | En çok görüntülenen
Melhorias e correções. = Improvements and fixes. | Mejoras y correcciones. | Улучшения и исправления. | Peningkatan dan perbaikan. | İyileştirmeler ve düzeltmeler.
MODO = MODE | MODO | РЕЖИМ | MODE | MOD
Mostra no seu perfil do Discord o servidor em que você está jogando = Shows the server you're playing on in your Discord profile | Muestra en tu perfil de Discord el servidor donde juegas | Показывает в профиле Discord сервер, на котором вы играете | Menampilkan server yang kamu mainkan di profil Discord | Discord profilinizde oynadığınız sunucuyu gösterir
Mover o último jogado para o início dos favoritos = Move the last played server to the top of favorites | Mover el último jugado al inicio de favoritos | Переносить последний сервер в начало избранного | Pindahkan yang terakhir dimainkan ke awal favorit | Son oynananı favorilerin başına taşı
N O M E = N A M E | N O M B R E | И М Я | N A M A | A D
N O M E   ( O P C I O N A L ) = N A M E   ( O P T I O N A L ) | N O M B R E   ( O P C I O N A L ) | И М Я   ( Н Е О Б Я З А Т Е Л Ь Н О ) | N A M A   ( O P S I O N A L ) | A D   ( İ S T E Ğ E   B A Ğ L I )
N O M E   D E   E X I B I C A O = D I S P L A Y   N A M E | N O M B R E   V I S I B L E | О Т О Б Р А Ж А Е М О Е   И М Я | N A M A   T A M P I L A N | G Ö R Ü N E N   A D
N O V A   C O N T A = N E W   A C C O U N T | N U E V A   C U E N T A | Н О В Ы Й   А К К А У Н Т | A K U N   B A R U | Y E N İ   H E S A P
N O V I D A D E S = W H A T ' S   N E W | N O V E D A D E S | Ч Т О   Н О В О Г О | Y A N G   B A R U | Y E N İ L İ K L E R
Nenhum SA-MP encontrado - aponte o gta_sa.exe na aba Datas. = No SA-MP found - point to gta_sa.exe in the Installs tab. | No se encontró SA-MP - indica el gta_sa.exe en la pestaña Instalaciones. | SA-MP не найден — укажите gta_sa.exe во вкладке Установки. | SA-MP tidak ditemukan - arahkan ke gta_sa.exe di tab Instalasi. | SA-MP bulunamadı - Kurulumlar sekmesinde gta_sa.exe'yi gösterin.
Nenhuma screenshot encontrada nesta data. = No screenshots found for this install. | No hay capturas en esta instalación. | В этой установке нет скриншотов. | Tidak ada tangkapan layar di instalasi ini. | Bu kurulumda ekran görüntüsü yok.
NOVA ATUALIZAÇÃO = NEW UPDATE | NUEVA ACTUALIZACIÓN | НОВОЕ ОБНОВЛЕНИЕ | PEMBARUAN BARU | YENİ GÜNCELLEME
Nova data = New install | Nueva instalación | Новая установка | Instalasi baru | Yeni kurulum
Não consegui baixar sozinho. = Couldn't download it by myself. | No pude descargarlo solo. | Не удалось скачать автоматически. | Tidak bisa mengunduh sendiri. | Kendiliğinden indirilemedi.
Não consegui exportar as configurações. = Couldn't export the settings. | No pude exportar los ajustes. | Не удалось экспортировать настройки. | Tidak bisa mengekspor pengaturan. | Ayarlar dışa aktarılamadı.
Não encontrei o seu GTA San Andreas com SA-MP neste computador. Aponte o gta_sa.exe da sua instalacao e o resto o launcher resolve. = Couldn't find your GTA San Andreas with SA-MP on this computer. Point to your install's gta_sa.exe and the launcher handles the rest. | No encontré tu GTA San Andreas con SA-MP en este PC. Indica el gta_sa.exe de tu instalación y el launcher hace el resto. | Не найден GTA San Andreas с SA-MP на этом компьютере. Укажите gta_sa.exe вашей установки — остальное лаунчер сделает сам. | GTA San Andreas dengan SA-MP tidak ditemukan di komputer ini. Arahkan ke gta_sa.exe instalasi kamu, sisanya launcher yang urus. | Bu bilgisayarda SA-MP'li GTA San Andreas bulunamadı. Kurulumunuzun gta_sa.exe'sini gösterin, gerisini launcher halleder.
O blog ainda não tem um ranking de mais vistos. = The blog doesn't have a most-viewed ranking yet. | El blog aún no tiene ranking de más vistos. | У блога пока нет рейтинга популярных постов. | Blog belum punya peringkat paling dilihat. | Blogun henüz en çok görüntülenen sıralaması yok.
O blog TrokMods está chegando. = The TrokMods blog is coming. | El blog TrokMods está en camino. | Блог TrokMods скоро появится. | Blog TrokMods segera hadir. | TrokMods blogu yakında.
O launcher abre já escondido, só o ícone perto do relógio = The launcher opens hidden, only the icon near the clock | El launcher abre oculto, solo el icono junto al reloj | Лаунчер запускается скрытым, только значок у часов | Launcher terbuka tersembunyi, hanya ikon dekat jam | Launcher gizli açılır, yalnızca saat yanında simge
O launcher é de graça e sempre vai ser. Dúvidas, sugestões e bugs: no Discord da TrokMods. = The launcher is free and always will be. Questions, ideas and bugs: on the TrokMods Discord. | El launcher es gratis y siempre lo será. Dudas, ideas y errores: en el Discord de TrokMods. | Лаунчер бесплатный и останется таким. Вопросы, идеи и баги — в Discord TrokMods. | Launcher ini gratis dan akan selalu gratis. Pertanyaan, saran, dan bug: di Discord TrokMods. | Launcher ücretsizdir ve hep öyle kalacak. Sorular, öneriler ve hatalar: TrokMods Discord'unda.
O servidor entra nos favoritos e o launcher busca o nome e o modo sozinho. = The server goes to your favorites and the launcher fetches its name and mode by itself. | El servidor entra a favoritos y el launcher obtiene solo el nombre y el modo. | Сервер попадёт в избранное, а лаунчер сам получит название и режим. | Server masuk ke favorit dan launcher mengambil nama dan mode sendiri. | Sunucu favorilere eklenir; adı ve modu launcher kendi bulur.
O Trok Launcher é um launcher moderno e gratuito de SA-MP: contas com avatar, várias instalações do jogo (datas), favoritos com capa, galeria das suas screenshots e atualização automática. Ele NÃO substitui nenhum arquivo do seu jogo - abre o samp.exe original da instalacao que voce escolher. = Trok Launcher is a modern, free SA-MP launcher: accounts with avatars, several game installs, favorites with covers, a gallery of your screenshots and automatic updates. It does NOT replace any game file - it opens the original samp.exe of the install you choose. | Trok Launcher es un launcher de SA-MP moderno y gratis: cuentas con avatar, varias instalaciones del juego, favoritos con portada, galería de tus capturas y actualización automática. NO reemplaza ningún archivo del juego: abre el samp.exe original de la instalación que elijas. | Trok Launcher — современный бесплатный лаунчер SA-MP: аккаунты с аватаром, несколько установок игры, избранное с обложками, галерея скриншотов и автообновление. Он НЕ заменяет файлы игры — запускает оригинальный samp.exe выбранной установки. | Trok Launcher adalah launcher SA-MP modern dan gratis: akun dengan avatar, beberapa instalasi game, favorit dengan sampul, galeri tangkapan layar, dan pembaruan otomatis. TIDAK mengganti file game apa pun - membuka samp.exe asli dari instalasi yang kamu pilih. | Trok Launcher modern ve ücretsiz bir SA-MP launcher'ıdır: avatarlı hesaplar, birden çok oyun kurulumu, kapaklı favoriler, ekran görüntüsü galerisi ve otomatik güncelleme. Hiçbir oyun dosyasını DEĞİŞTİRMEZ; seçtiğiniz kurulumun orijinal samp.exe'sini açar.
O Windows nao conseguiu abrir o samp.exe desta data. = Windows couldn't open this install's samp.exe. | Windows no pudo abrir el samp.exe de esta instalación. | Windows не смог открыть samp.exe этой установки. | Windows tidak bisa membuka samp.exe instalasi ini. | Windows bu kurulumun samp.exe dosyasını açamadı.
O X esconde o launcher perto do relógio em vez de encerrar de vez = The X hides the launcher near the clock instead of quitting | La X oculta el launcher junto al reloj en vez de cerrarlo | Крестик сворачивает лаунчер к часам вместо выхода | Tombol X menyembunyikan launcher di dekat jam, bukan menutup | X, kapatmak yerine launcher'ı saatin yanına gizler
Ocultar cheios = Hide full | Ocultar llenos | Скрыть полные | Sembunyikan penuh | Doluları gizle
Ocultar com senha = Hide passworded | Ocultar con contraseña | Скрыть с паролем | Sembunyikan berkata sandi | Şifrelileri gizle
Ocultar sem resposta = Hide unresponsive | Ocultar sin respuesta | Скрыть без ответа | Sembunyikan tak merespons | Yanıt vermeyenleri gizle
Ocultar vazios = Hide empty | Ocultar vacíos | Скрыть пустые | Sembunyikan kosong | Boşları gizle
online, com senha = online, passworded | en línea, con contraseña | онлайн, с паролем | online, berkata sandi | çevrimiçi, şifreli
Opcao do proprio SA-MP: a senha digitada fica guardada (texto puro) no USERDATA.DAT = SA-MP's own option: the typed password is stored (plain text) in USERDATA.DAT | Opción del propio SA-MP: la contraseña queda guardada (texto plano) en USERDATA.DAT | Опция самого SA-MP: введённый пароль хранится (открытым текстом) в USERDATA.DAT | Opsi bawaan SA-MP: kata sandi disimpan (teks polos) di USERDATA.DAT | SA-MP'nin kendi seçeneği: girilen şifre USERDATA.DAT'ta (düz metin) saklanır
Opção do próprio SA-MP, usada pelas ferramentas RCON do browser original = SA-MP's own option, used by the original browser's RCON tools | Opción del propio SA-MP, usada por las herramientas RCON del browser original | Опция самого SA-MP, используется RCON-инструментами оригинального браузера | Opsi bawaan SA-MP, dipakai alat RCON browser asli | SA-MP'nin kendi seçeneği, orijinal tarayıcının RCON araçları kullanır
Principal = Main | Principal | Основная | Utama | Ana
Quando saírem posts novos, eles aparecem aqui sozinhos - com aviso na barra lateral. = When new posts come out, they show up here by themselves - with a notice in the sidebar. | Cuando salgan posts nuevos, aparecen aquí solos, con aviso en la barra lateral. | Новые посты появятся здесь сами — с уведомлением в боковой панели. | Saat ada postingan baru, muncul di sini otomatis - dengan tanda di bilah samping. | Yeni gönderiler burada kendiliğinden görünür; yan çubukta uyarı çıkar.
Recolher menu = Collapse menu | Contraer menú | Свернуть меню | Ciutkan menu | Menüyü daralt
Remover = Remove | Quitar | Убрать | Hapus | Kaldır
Remover conta = Remove account | Quitar cuenta | Удалить аккаунт | Hapus akun | Hesabı kaldır
Remover dos favoritos = Remove from favorites | Quitar de favoritos | Убрать из избранного | Hapus dari favorit | Favorilerden kaldır
Remover esta data = Remove this install | Quitar esta instalación | Удалить эту установку | Hapus instalasi ini | Bu kurulumu kaldır
Remover logo = Remove logo | Quitar logo | Убрать логотип | Hapus logo | Logoyu kaldır
